db_id,artist_name,spotify_id
b1ec7ed5-cd7f-4af9-8ae5-42d6f053c1f1,Jessica Audiffred,4odLDriBk6oEZotzLPTSnD
c4bae353-8cc6-4253-8d5f-6a444ed898c0,Molly Moore,0mEUqATSCsYZUTyL09kB8g
5c47699e-fa8c-4128-b63f-895c41a784c0,Skifonix,0F04PBhk39Gj33jtAZ7Otl
6086d2cc-6758-4b71-bebe-2312c9ed2084,Vertical Mode,4wwpaTO20ncf1JS1OnsR9o
4bf8173c-95b6-4b02-849a-c185a5a2fa36,MARIELE,7BD5vJssWIjaDmb5Pszagd
77cd71cc-ade0-4786-b856-78dc5905a72b,Jess Ball,5HjbKQXMhybveoJOsOXS07
375d90bb-d2c7-4f68-a54c-92a3bb1eb717,Kymira,6bWdHKULequjwRPTQYWzer
66a0758f-3259-430d-aa1b-a04f61b4f295,beastboi.,0e87rlA12iAl7kIonLl2e4
590e7cf9-c9b0-4177-9acc-702a0bfad094,Talamanca,6T10DjLBN7wT5gtnPnhmEk
0f7ad771-847f-4f6e-a0f6-b1a8a4f277a1,Zack Martino,2US2mjK9hW7QGSBNpprlbu
df46b65d-c2ba-4826-84a7-78b1f36b1b42,Lena Leon,0izKfMblL8LX6Bv2wG3Cy7
b549a051-8d0e-49e4-9964-a3d814db2ab9,R7CKY,7nwTgB0QOv2yGprKxofyT8
28eb7dcd-61d1-4496-a36b-65ce1fa6cafa,Bad Computer,7uGeDBa1LJ7T1X4fpl8mwk
9d62422f-9ced-4207-9df1-541e3f71ab55,Memtrix,3bffaBH7akOhsSLsVJcJug
bc005777-9e1e-4f7c-96b8-1aa9f6f2f8d3,Deorro,6VD4UEUPvtsemqD3mmTqCR
05906178-0062-4a99-832a-94f633e6aab8,P Money,6WjX4pepHwXa85B9KMk0PY
10f080f3-62d4-4557-8d51-864410e07813,Arnie Way,5cHBng7fvXk2Ea8UcyR5ct
246b93e7-2ac9-4f14-b1c6-50dd7d8d1aa3,Enjac,7iIiRw3JSWI8c9n8CIQS3f
74c8cec7-cf79-4bd3-ae59-8e1164d3f27c,Circadian,1YrGu3E2y8jG5JJFlDEWFE
2fd625ce-9e1d-40f1-97bd-0b06199f9e87,Pasha,0elSJZFrHnayc7AUCkbWAl
cd8b9f9d-f9a3-403e-acbf-98762c45915c,Arlow,0UUg4WqiuFaqavE3JSZtHQ
b529a6cd-ca7f-4288-b1cc-e9f3712ba331,NuKey,2tmve58Sh3f0WZN76W30x3
305d253c-a80e-4dd8-bf41-375c44bd0b99,Illumia,3g79aLcgoTfoQTUrsiyPtC
a30a8026-6877-4493-a710-5b9a3edc862c,AMIDY,685c4a84PTRlygc8EUE7tV
73c7311b-6f01-4d6e-b80e-62a395fac382,Joe Jonas,7gbmX8SsfjEjxDMzBi1ZOL
f863fe11-d3e2-4519-aa09-7bbc412267c9,Degs,7gYMOxGbwZZgvaOc6z5VJG
25a37d5a-0eba-46c0-83e3-1b6269a573f5,Nicky Romero,5ChF3i92IPZHduM7jN3dpg
02e3e618-26a5-4d2e-a5e9-6ba8a19f15a1,Habstrakt,1YYJxpOXYk1z1WtqdeLMkn
2bf0a4eb-7be2-49d2-a460-14a2f5a8f941,Josh Bogert,2MbO01KZTMshiRXcOLo88R
35e77a10-64ed-476d-9ff9-9cfca645f2b3,Nu Aspect,4NhRml5ZOfNaYJAHUE0XwT
58977828-2305-4fe5-83e0-695822c37305,Cormak,4iutvY4Hf9bi5Hx81TUKSt
3f22af84-2ee2-43bf-9128-4dd09272984f,Kelly Paige,55gmpteNh4JYsHglV3aQeD
9745af40-c13d-469c-8a08-0ae7447da5da,Waeys,2I5WzC6NbIiTydDnvGGTu9
4555ad0d-9a0c-40d4-8075-7d0aa2ffae4b,Skybreak,2858y2JiMYIst8dY4WXGi3
91296622-d252-418f-8509-52571302552b,Delaney Kai,4R9LxtRMT4XlrKbbrvEHNl
bb2bf5ee-1d93-453a-a322-08916c31ce4a,RetroVision,6heMlLFM6RDDHRz99uKMqS
9581f755-5b54-4876-856a-ffc4a6792b7f,Stephen Walking,0FvgCHaMG7KL6M83yJuhmL
d63b34a0-0ae9-42ad-8c7b-e64b3c38bb13,Laura Brehm,7ddnIV2r4SLjuwyGlgLIWt
2ab3416b-aaea-4dc7-bcb2-cefceda8b72f,Nitro Fun,4XU5f8nGiPMr6eetud6epC
2cbb71bf-0993-4ffc-af3d-3daa4e2b37b6,Gammer,5nd7jnne7zbsV2J5jBKNOY
b1b9fccd-025a-4af0-b7b3-3b5576cb11a2,Duumu,6q8cRPrSLahGAZSVnjIYjF
230e8a37-9ecc-4d4f-a6dd-5a6a933de97c,Bound to Divide,5nQ7llwdZYT6MWMeLLe8dc
8f70d53a-5df9-4e4b-aa97-770e956dbb18,Terry Da Libra,1N18Bl1O1zRsE0uRrt3ekB
c7514884-cb7c-4014-bacf-6cec3ec4aa63,Wynnwood,5SD3UXASMH77lwNBo2lqj6
16b1b335-1fc7-44ea-9612-e562354e74b4,Medyk,7vbAs9frQTkhTyOWWIwsSL
083748a8-a21b-4549-ad22-ab78b981351a,Manu Zain,6MIXwGBFXAuLoaZ6s0fCT7
612fcd17-c7a5-47cf-81a4-24bf480f8519,Holly Drummond,24O8Ftz6AqboC3Uawbiw4r
ca4ea527-cb21-4591-957f-2457b20127ca,Monoverse,5ju81ZKFrDaQd0kOvRGNCM
8eb5e19b-ba6b-449f-9d0a-02d56eabb0c6,Zebbler Encanti Experience,1LJR81mjpmBkowZy1MPwQg
65630b28-037c-43d5-b701-e99ac8a6df60,YMIR,7MxaflmSZI1igZLk7Rg2LD
e5e3fb0b-f5f4-4569-8256-1db53c1b8fb3,SOLAH,4jrJBSg0c2qx8SMGa7ququ
46abc261-8e0e-4361-83e4-99640796446f,Madalen Duke,5qElg3REYcoPscmGLy0NmU
3871e33d-fb49-48f8-8978-447821093e5e,Seawayz,1CXuuw8HJhyN80HlNzvL1e
7f44055b-6eb6-4567-aa06-44f21e6a50db,ARMNHMR,0P2bZXPyjHYRW4guHVAFl1
7edb4cfe-4b78-46b8-91d6-942e84985e1c,OVSKY,6hs7DlQVJTvFgN7DyzkdnX
4db4835a-054a-4487-9e69-99ead4a5ad31,Kompany,7dtX3ykcuyVmts2HQnWgSP
b1bdf324-cdba-4df1-9a6a-bdd8004fb281,Cloudcage,7voZA8iemE4e4c17BdlNaA
41239a6b-2b48-4fc8-aa57-ceac87a887a2,Tylor Maurer,5FECk97BsAybDAUZmlCXll
8c29bcad-0424-4cf5-a674-bd572e8c4e32,Zack Gray,4ts4KzTqLDytonufwGpl9l
df9988d9-8b00-428a-bc0a-8976bf267332,Martin Graff,6SR5c2LXuUrSqhqkj3MTz9
58591fad-3059-4781-b2d4-a70e99f7d323,HALIENE,1sKIizVYeHkGy7Tjmn9QRj
163c12b0-d79c-4f3f-b020-d53a05130a1a,FOMO,6K4rA9ocjtIaTOEVZ4N6dX
7a65dbb2-4e37-4046-ac67-eb3ba6107b48,Keanler,1TMkg5qcE49Wc66pPls4NK
6bc89591-f437-439b-8a9a-37ce19e234f7,Droptek,4Pn0zmbERg32YIOjl2nOQf
5f1c1b88-eeee-4015-89e3-01fdeacd4073,Aviella,5UA4NsiBgSQICPFMDKcPAe
074cc3a9-ea72-458c-b727-dd72968e5b8a,One True God,35Of0m0cvpLYrmQ6qd5ocp
b507521d-8c91-4066-bc9e-f1a2522e0913,Kevin Paczesny,5FSi8RqJ84WRQmIF78k0a2
ac36bdbf-5e45-4a86-969e-cd69d0ae68e5,Hollywood Principle,6ldZGvFDjs6KafLouTBHJ9
8ce495f9-e436-44af-8f8e-2b0f510ff237,Mark Novas,2iRVKO828lhfFL0RGyS7Ya
4f2c83b1-7a08-42df-bf1c-d1341b8982ae,Aftruu,5j8cJ0cS4JKvSAwmX5NDcH
6d7746d5-43ea-42b0-b060-85740954b82b,Vicetone,0daugAjUgbJSqdlyYNwIbT
52546fa5-023c-498e-a8ac-c1b3d9665de6,J. Cruze,4GiK8nFWRB2wXQRmXwHd1V
c45fdc1d-91f8-46f9-bfc9-a579f6fdf10a,Noequalgods,7dnNGsIp4wR4bTMqeLVr0c
